장,조,내용
제5장 시스템 악용,제9조 기타 블리자드 이용자 커뮤니티상의 부적절한 행위,"회사는 버그를 해결하고, 게임 및 서비스 내 밸런스를 유지하기 위해 최상의 품질 보증 팀을 운영하고 있으며, 불공평한 이득이 발생하지 않도록 노력할 것입니다. 또한 시스템 악용을 개발, 공유, 배포, 이용할 경우 강력한 제재조치를 취할 것입니다. 다음은 시스템 악용에 해당하는 사항입니다."
제5장 시스템 악용,제1조 버그 악용,"게임 및 서비스 내에 오류를 이용해서 이득을 얻거나, 악영향을 미치거나, 다른 고객에게 불쾌감을 주는 모든 행위가 버그 악용에 포함되며 이러한 방법을 개발, 공유, 배포, 이용할 경우 제재가 진행될 수 있습니다."
제5장 시스템 악용,제1조 버그 악용,제재 조치를 결정하는 요인은 다음과 같습니다.
제5장 시스템 악용,제1조 버그 악용,"제재 조치를 결정하는 요인은 다음과 같습니다.1) 의도적, 지속적, 반복적 악용 여부"
제5장 시스템 악용,제1조 버그 악용,제재 조치를 결정하는 요인은 다음과 같습니다.2) 게임 및 서비스 내/외 적으로 미치는 영향
제5장 시스템 악용,제1조 버그 악용,버그 악용 사실이 확인되면 다음과 같은 제재를 받을 수 있습니다.
제5장 시스템 악용,제1조 버그 악용,버그 악용 사실이 확인되면 다음과 같은 제재를 받을 수 있습니다.1) 구두경고 또는 일시 계정정지
제5장 시스템 악용,제1조 버그 악용,버그 악용 사실이 확인되면 다음과 같은 제재를 받을 수 있습니다.2) 심각성에 따라 추가적인 제재를 받을 수 있음
제5장 시스템 악용,제2조 게임 및 서비스 구성 악용,"게임 및 서비스 구성 악용은 회사가 고객 사이에 공평한 경쟁을 위하여 제한하는 내용을 회피하여 이익을 취하는 것입니다. 이러한 방법을 개발, 공유, 배포, 이용할 경우 제재가 진행될 수 있습니다."
제5장 시스템 악용,제2조 게임 및 서비스 구성 악용,제재 조치를 결정하는 요인은 다음과 같습니다.
제5장 시스템 악용,제2조 게임 및 서비스 구성 악용,"제재 조치를 결정하는 요인은 다음과 같습니다.1) 의도적, 지속적, 반복적 악용 여부"
제5장 시스템 악용,제2조 게임 및 서비스 구성 악용,제재 조치를 결정하는 요인은 다음과 같습니다.2) 게임 및 서비스 내/외 적으로 미치는 영향
제5장 시스템 악용,제2조 게임 및 서비스 구성 악용,게임 및 서비스 구성 악용이 확인되면 다음과 같은 제재를 받을 수 있습니다.
제5장 시스템 악용,제2조 게임 및 서비스 구성 악용,게임 및 서비스 구성 악용이 확인되면 다음과 같은 제재를 받을 수 있습니다.1) 구두 경고 조치 또는 일시 계정 정지
제5장 시스템 악용,제2조 게임 및 서비스 구성 악용,게임 및 서비스 구성 악용이 확인되면 다음과 같은 제재를 받을 수 있습니다.2) 심각성에 따라 추가적인 제재를 받을 수 있음
제5장 시스템 악용,제3조 허용되지 않은 제3자 외부 프로그램 사용,"제3자 외부 프로그램은 회사가 배포하는 프로그램 내에 포함되지 않거나, 별도로 이루어진 파일 또는 프로그램이며 이를 통하여 회사가 의도하지 않거나 허용하지 않은 이득을 취하고자 하는 프로그램입니다. 또한, 일반적인 고객들은 얻을 수 없는 게임 및 서비스 정보를 얻거나 파일을 조작 또는 변환 하는 프로그램 역시 포함 됩니다. 이러한 허용되지 않은 제3자 외부 프로그램의 개발, 공유, 배포, 이용할 경우 제재가 진행될 수 있습니다."
제5장 시스템 악용,제3조 허용되지 않은 제3자 외부 프로그램 사용,허용되지 않는 제3자 외부 프로그램 사용이 확인되면 다음과 같은 제재를 받을 수 있습니다.
제5장 시스템 악용,제3조 허용되지 않은 제3자 외부 프로그램 사용,허용되지 않는 제3자 외부 프로그램 사용이 확인되면 다음과 같은 제재를 받을 수 있습니다.1) 계정 정지
제5장 시스템 악용,제4조 악의적인 UI(이용자 인터페이스) 의 사용,"회사는 게임 및 서비스에 제공되는 인터페이스를 고객이 변경할 수 있도록 허용하는 파일이 있으며, 고객은 회사의 게임 및 서비스 이용약관이 허용하는 범위 내에서 이를 정당하게 이용할 수 있습니다. 하지만 이러한 허용범위를 넘어선 조작을 통하여 회사의 게임 및 서비스에서 의도하지 않은 부분을 가능하게 하는 이용자 인터페이스의 개발, 공유, 배포, 이용할 경우 제재될 수 있습니다."
제5장 시스템 악용,제4조 악의적인 UI(이용자 인터페이스) 의 사용,악의적인 이용자 인터페이스 사용이 확인되면 다음과 같은 제재를 받을 수 있습니다.
제5장 시스템 악용,제4조 악의적인 UI(이용자 인터페이스) 의 사용,악의적인 이용자 인터페이스 사용이 확인되면 다음과 같은 제재를 받을 수 있습니다.1) 일시 게임 및 서비스 정지 조치
제5장 시스템 악용,제4조 악의적인 UI(이용자 인터페이스) 의 사용,악의적인 이용자 인터페이스 사용이 확인되면 다음과 같은 제재를 받을 수 있습니다.2) 심각성에 따라 추가적인 제재를 받을 수 있음
제5장 시스템 악용,제5조 데이터 조작 / 추출,"데이터 조작은 고객이 회사의 게임 및 서비스를 이용하며, 자신의 컴퓨터와 회사 서버 사이에 오고 가는 데이터 흐름을 조작 하는 것이 포함되며 데이터 추출은 회사가 공개하지 않은 정보를 추출 하는 것도 포함됩니다. 이러한 데이터 조작/추출하는 방법을 개발, 공유, 배포, 이용할 경우 제재가 진행될 수 있습니다."
제5장 시스템 악용,제5조 데이터 조작 / 추출,데이터 조작/추출이 확인되면 다음과 같은 제재를 받을 수 있습니다.
제5장 시스템 악용,제5조 데이터 조작 / 추출,데이터 조작/추출이 확인되면 다음과 같은 제재를 받을 수 있습니다.1) 일시 게임 및 서비스 정지 조치
제5장 시스템 악용,제5조 데이터 조작 / 추출,데이터 조작/추출이 확인되면 다음과 같은 제재를 받을 수 있습니다.2) 심각성에 따라 추가적인 제재를 받을 수 있음
제5장 시스템 악용,제6조 중요 사항,"위에 나열된 자세한 사항을 포함하여 회사의 게임 및 서비스 이용약관의 위반과 이를 반복하는 행위는 게임 및 서비스에 대한 정지 조치가 취해질 수 있습니다. 시스템 악용 중 하나를 위반하는 것은 잠재적으로 다른 사항을 위반하는 것을 내포할 수 있습니다. 이러한 경우, 저희는 가장 심각한 위반 사항을 기본으로 적절한 조치를 취할 것입니다."
