장,조,내용
,제3조 약관의 명시와 개정,"3. 회사가 본 약관을 개정하는 경우에는 적용일자 및 개정사유를 명시하여 현행약관과 함께 회사의 초기화면에 그 적용일자 7일 이전부터 적용일자 전일까지 공지합니다. 다만, 이용자에게 불리하게 약관 내용을 개정하는 경우에는 최소한 30일 이상의 유예기간을 두고 공지합니다. 이 경우 회사는 개정 전 내용과 개정 후 내용을 비교하여 이용자가 알기 쉽도록 표시합니다."
,제3조 약관의 명시와 개정,"4. 회원은 개정된 약관에 대해 거부할 권리가 있습니다. 회원은 약관의 변경에 대하여 주의 의무를 다하여야 하며, 개정된 약관에 동의하지 않을 경우 회원가입을 해지할 수 있으며, 개정된 약관의 효력발생일 이후에도 서비스를 계속 이용할 경우 약관의 변경사항에 동의하는 것으로 간주합니다."
,제3조 약관의 명시와 개정,5. 회원은 정기적으로 서비스를 이용하여 본 약관의 변경사항을 확인할 의무가 있으며 개정된 약관에 동의한 회원이 약관의 변경으로 인하여 발생한 피해 및 회원이 과실로 개정된 약관의 내용을 알지 못해 발생하는 회원의 피해는 회사에서 책임지지 않습니다.
,제4조 약관외 준칙,1. 본 약관은 회사가 제공하는 서비스에 관하여 별도의 정책 및 운영규칙과 함께 적용됩니다.
,제4조 약관외 준칙,2. 본 약관에서 정하지 아니한 사항과 본 약관의 해석에 관하여는 관계법령 또는 상관례에 따릅니다.
,제4조 약관외 준칙,2. 본 약관에서 정하지 아니한 사항과 본 약관의 해석에 관하여는 관계법령 또는 상관례에 따릅니다.[제2장 이용계약의 체결]
,제5조 이용신청,"1. 회원으로 가입하여 서비스를 이용하고자 하는 자는 서비스 신청시 본 약관을 읽고“위의 이용약관에 동의합니다”에 표시를 한 후 가입하기를 선택하고, 회사가 요청하는 소정의 신청양식에 요구된 항목을 기재하여 이용신청을 합니다."
,제5조 이용신청,2. 만 14세미만의 아동이 서비스를 이용하기 위해서는 회사가 요청하는 소정의 법정대리인(부모) 동의 절차를 거쳐야 모든 서비스의 이용이 가능합니다.
,제5조 이용신청,"3. 회원은 반드시 회원 본인의 실명과 주민등록번호를 기재하여야 합니다. 실명으로 가입하지 않은 회원은 법적인 보호를 받을 수 없으며, 서비스 이용제한을 받게 되며 관련법에 따라 처벌을 받을 수도 있습니다."
,제5조 이용신청,"4. 온라인 이용신청 양식에 기재하는 모든 회원 정보는 실제 데이터인 것으로 간주하며 실제 정보를 입력하지 않은 회원은 법적인 보호를 받을 수 없으며, 서비스 이용제한을 받을 수 있습니다."
,제5조 이용신청,5. 회사는 회원의 실명확인을 위하여 전문기관을 통하여 실명인증을 할 수 있습니다.
,제6조 이용신청의 승낙과 제한,1. 회사는 제5조의 내용에 따르는 이용신청에 대하여 특별한 하자가 없는 한 접수한 순서대로 승낙함으로써 이용계약은 성립합니다.
,제6조 이용신청의 승낙과 제한,"2. 회사는 다음 각 호의 내용에 해당하는 경우 이용신청에 대한 승낙을 제한할 수 있고, 그 사유가 해소될 때까지 승낙을 유보할 수 있습니다."
,제6조 이용신청의 승낙과 제한,"2. 회사는 다음 각 호의 내용에 해당하는 경우 이용신청에 대한 승낙을 제한할 수 있고, 그 사유가 해소될 때까지 승낙을 유보할 수 있습니다.(1) 서비스 관련설비에 여유가 없는 경우"
,제6조 이용신청의 승낙과 제한,"2. 회사는 다음 각 호의 내용에 해당하는 경우 이용신청에 대한 승낙을 제한할 수 있고, 그 사유가 해소될 때까지 승낙을 유보할 수 있습니다.(2) 기술상 지장이 있는 경우"
,제6조 이용신청의 승낙과 제한,"2. 회사는 다음 각 호의 내용에 해당하는 경우 이용신청에 대한 승낙을 제한할 수 있고, 그 사유가 해소될 때까지 승낙을 유보할 수 있습니다.(3) 기타 회사의 사정상 필요하다고 인정되는 경우"
,제6조 이용신청의 승낙과 제한,3. 회사는 다음 각 호의 내용에 해당하는 경우 이용신청에 대하여는 이를 승낙하지 아니할 수도 있습니다.
,제6조 이용신청의 승낙과 제한,3. 회사는 다음 각 호의 내용에 해당하는 경우 이용신청에 대하여는 이를 승낙하지 아니할 수도 있습니다.(1) 실명이 아니거나 타인의 명의를 이용하여 신청한 경우
,제6조 이용신청의 승낙과 제한,3. 회사는 다음 각 호의 내용에 해당하는 경우 이용신청에 대하여는 이를 승낙하지 아니할 수도 있습니다.(2) 이용 신청서의 내용을 허위로 기재하여 신청한 경우
,제6조 이용신청의 승낙과 제한,3. 회사는 다음 각 호의 내용에 해당하는 경우 이용신청에 대하여는 이를 승낙하지 아니할 수도 있습니다.(3) 만 14세미만의 아동이 법정대리인(부모)의 동의를 얻지 아니한 경우
,제6조 이용신청의 승낙과 제한,3. 회사는 다음 각 호의 내용에 해당하는 경우 이용신청에 대하여는 이를 승낙하지 아니할 수도 있습니다.(4) 사회의 안녕과 질서 혹은 미풍양속을 저해할 목적으로 신청한 경우
,제6조 이용신청의 승낙과 제한,3. 회사는 다음 각 호의 내용에 해당하는 경우 이용신청에 대하여는 이를 승낙하지 아니할 수도 있습니다.(5) 부정한 용도로 서비스를 이용하고자 하는 경우
,제6조 이용신청의 승낙과 제한,3. 회사는 다음 각 호의 내용에 해당하는 경우 이용신청에 대하여는 이를 승낙하지 아니할 수도 있습니다.(6) 영리를 추구할 목적으로 서비스를 이용하고자 하는 경우
,제6조 이용신청의 승낙과 제한,3. 회사는 다음 각 호의 내용에 해당하는 경우 이용신청에 대하여는 이를 승낙하지 아니할 수도 있습니다.(7) 기타 회사가 정한 이용신청 요건이 미비된 경우
,제7조 개인정보보호정책,회사는 관계법령이 정하는 바에 따라 회원가입정보를 포함한 회원의 개인정보를 보호하기 위하여 노력을 합니다. 회원의 개인정보보호에 관하여 관계법령 및 회사가 정한 개인정보보호정책에 따릅니다.
,제8조 회원ID 부여 및 변경 등,1. 회사는 회원에 대하여 본 약관에 정하는 바에 따라 회원ID를 부여합니다.
,제8조 회원ID 부여 및 변경 등,"2. 회원은 서비스 내의 나의 정보 또는 기타 해당 페이지로 링크된 메뉴를 통하여 자신의 개인정보를 관리할 수 있는 페이지를 열람할 수 있으며, 해당 페이지에서 언제든지 본인의 개인정보를 열람하고 수정할 수 있습니다. 다만, 서비스 관리를 위하여 반드시 필요한 실명, 주민등록번호, 성별 등은 수정할 수 없습니다."
,제8조 회원ID 부여 및 변경 등,3. 회원ID는 원칙적으로 변경이 불가하며 부득이한 사유로 인하여 변경하고자 하는 경우에는 해당ID를 해지하거나 해당 아이템을 이용하여 변경할 수 있습니다.
,제8조 회원ID 부여 및 변경 등,3. 회원ID는 원칙적으로 변경이 불가하며 부득이한 사유로 인하여 변경하고자 하는 경우에는 해당ID를 해지하거나 해당 아이템을 이용하여 변경할 수 있습니다.[제3장 계약 당사자의 의무]
,제9조 회사의 의무,"1. 회사는 관련법과 본 약관이 금지하거나 공서양속에 반하는 행위를 하지 않으며 본 약관이 정하는 바에 따라 지속적이고, 안정적으로 서비스를 제공하기 위하여 최선을 다하여야 합니다."
,제9조 회사의 의무,"2. 회사는 회원이 안전하게 서비스를 이용할 수 있도록 회원의 개인정보보호를 위한 보안시스템을 구축하며, 개인정보보호정책을 준수합니다."
,제9조 회사의 의무,3. 회사는 회원이 원하지 않는 영리목적의 광고성 전자우편을 발송하지 않습니다.
,제9조 회사의 의무,"4. 회사는 이용계약의 체결, 계약사항의 변경 및 해지 등 회원과의 계약관계절차 및 내용등에 있어 회원에게 편의를 제공하도록 노력합니다."
,제10조 회원ID 및 비밀번호에 대한 관리,"1. 회사가 관련법 및 개인정보보호정책에 의하여 그 책임을 지는 경우를 제외하고, 회원ID와 비밀번호의 관리책임은 회원에게 있습니다."
,제10조 회원ID 및 비밀번호에 대한 관리,2. 회원은 자신의 회원ID와 비밀번호를 도용 당하거나 제3자가 사용하고 있음을 인지한 경우에는 바로 회사에 통보하고 회사의 안내에 따라야 합니다.
,제11조 회원의 의무,"1. 회원은 본 약관에 규정하는 사항과 서비스 이용안내 또는 공지사항 등 회사가 공지 또는 통지하는 사항을 준수하여야 하며, 기타 회사의 업무에 방해되는 행위를 하여서는 안됩니다."
,제11조 회원의 의무,"2. 회사가 관련법 및 개인정보보호정책에 의하여 그 책임을 지는 경우를 제외하고 제10조의 관리소홀, 부정사용에 의하여 발생하는 모든 결과에 대한 책임은 회원에게 있습니다."
,제11조 회원의 의무,"3. 회원은 회사의 사전승낙없이 영리를 목적으로 서비스를 이용할 수 없으며, 회원간 또는 회원과 제3자간에 서비스를 매개로 한 물품거래 및 서비스의 이용과 관련하여 기대하는 이익 등에 관하여 발생하는 손해에 대하여 회사는 책임을 지지 않습니다. 이와 같은 영업활동으로 회사가 손해를 입은 경우 회원은 회사에 대하여 손해배상의 의무를 집니다."
,제11조 회원의 의무,"4. 회원은 회사의 명시적인 동의가 없는 한 서비스의 이용권한, 기타 이용계약상 지위를 타인에게 양도, 증여할 수 없으며, 이를 담보로 제공할 수 없습니다."
,제11조 회원의 의무,5. 회원은 서비스 이용과 관련하여 제21조 제1항의 각 호에 해당하는 행위를 하여서는 안됩니다
,제11조 회원의 의무,5. 회원은 서비스 이용과 관련하여 제21조 제1항의 각 호에 해당하는 행위를 하여서는 안됩니다[제4장 서비스 이용]
,제12조 서비스의 제공 및 변경,1. 회사는 회원에게 아래와 같은 서비스를 제공합니다.
,제12조 서비스의 제공 및 변경,1. 회사는 회원에게 아래와 같은 서비스를 제공합니다.(1) 게임 서비스
,제12조 서비스의 제공 및 변경,1. 회사는 회원에게 아래와 같은 서비스를 제공합니다.(2) 채팅 서비스
,제12조 서비스의 제공 및 변경,1. 회사는 회원에게 아래와 같은 서비스를 제공합니다.(3) 카페 서비스
,제12조 서비스의 제공 및 변경,1. 회사는 회원에게 아래와 같은 서비스를 제공합니다.(4) 메신져 서비스
,제12조 서비스의 제공 및 변경,1. 회사는 회원에게 아래와 같은 서비스를 제공합니다.(5) 프리미엄 서비스
,제12조 서비스의 제공 및 변경,1. 회사는 회원에게 아래와 같은 서비스를 제공합니다.(6) 기타 회사가 자체 개발하거나 다른 회사와의 협력계약 등을 통해 회원들에게 제공할 일체의 서비스
,제12조 서비스의 제공 및 변경,"2. 회사에서 제공하는 서비스는 기본적으로 무료입니다. 다만, 회사가 정한 프리미엄 서비스에 대하여는 그러하지 아니합니다. 프리미엄 서비스의 이용에 대한 사항은 회사가 별도로 정한 정책 또는 운영규칙에 따릅니다."
,제12조 서비스의 제공 및 변경,"3. 회사는 제12조 제1항에서 정한 서비스를 변경하여 제공할 수 있으며, 그 변경될 서비스의 내용 및 제공일자를 제14조에 정한 방법으로 회원에게 통지합니다."
,제13조 프리미엄 서비스,1. 회사는 다음과 같은 프리미엄 서비스를 제공합니다
,제13조 프리미엄 서비스,1. 회사는 다음과 같은 프리미엄 서비스를 제공합니다(1) 디지털 컨텐츠 서비스
,제13조 프리미엄 서비스,1. 회사는 다음과 같은 프리미엄 서비스를 제공합니다(2) 무선 인터넷 서비스
,제13조 프리미엄 서비스,1. 회사는 다음과 같은 프리미엄 서비스를 제공합니다(3) 유료정보 서비스
,제13조 프리미엄 서비스,1. 회사는 다음과 같은 프리미엄 서비스를 제공합니다(4) 기타 회사가 회원에게 제공하는 일체의 유료서비스
,제13조 프리미엄 서비스,"2. 프리미엄 서비스의 이용에 관한 자세한 사항은 회사가 정한 피망캐쉬정책, 세이캐쉬정책에 따릅니다."
,제14조 정보의 제공 및 통지,1. 회사는 회원이 서비스 이용 중 필요하다고 인정되는 다양한 정보를 공지사항 혹은 전자우편 등의 방법으로 회원에게 제공할 수 있습니다.
,제14조 정보의 제공 및 통지,2. 회사는 불특정다수 회원에 대한 통지를 하는 경우 7일 이상 서비스 게시판에 게시함으로써 개별 통지에 갈음할 수 있습니다.
,제14조 정보의 제공 및 통지,"3. 회사는 휴대폰/ARS 결제와 관련하여 회원의 이의제기가 있는 경우 또는 이에 준하는 사안으로 휴대폰/ARS 결제 중재센터의 요청이 있는 경우, 문제 해결을 위해 필요한 범위에 한하여 서비스와 관련된 회원의 정보를 휴대폰/ARS 결제 중재센터에 제공할 수 있습니다."
,제14조 정보의 제공 및 통지,"3. 회사는 휴대폰/ARS 결제와 관련하여 회원의 이의제기가 있는 경우 또는 이에 준하는 사안으로 휴대폰/ARS 결제 중재센터의 요청이 있는 경우, 문제 해결을 위해 필요한 범위에 한하여 서비스와 관련된 회원의 정보를 휴대폰/ARS 결제 중재센터에 제공할 수 있습니다.- 휴대폰/ARS 결제 중재센터 (www.spayment.org) - 전화 : 02-563-4033,4012"
,제15조 게시물의 관리 및 저작권,"1. 회사는 회원의 게시물을 소중하게 생각하며 변조, 훼손, 삭제되지 않도록 최선을 다하여 보호합니다. 다만, 다음 각 호에 해당하는 경우 사전통지 없이 해당 게시물을 삭제할 수 있고, 해당 회원의 자격을 제한, 정지 또는 상실시킬 수 있습니다."
,제15조 게시물의 관리 및 저작권,"1. 회사는 회원의 게시물을 소중하게 생각하며 변조, 훼손, 삭제되지 않도록 최선을 다하여 보호합니다. 다만, 다음 각 호에 해당하는 경우 사전통지 없이 해당 게시물을 삭제할 수 있고, 해당 회원의 자격을 제한, 정지 또는 상실시킬 수 있습니다.(1) 타인을 비방할 목적으로 허위사실을 유포, 타인의 명예를 훼손하는 내용인 경우"
,제15조 게시물의 관리 및 저작권,"1. 회사는 회원의 게시물을 소중하게 생각하며 변조, 훼손, 삭제되지 않도록 최선을 다하여 보호합니다. 다만, 다음 각 호에 해당하는 경우 사전통지 없이 해당 게시물을 삭제할 수 있고, 해당 회원의 자격을 제한, 정지 또는 상실시킬 수 있습니다.(2) 공서양속에 위반되는 내용인 경우"
,제15조 게시물의 관리 및 저작권,"1. 회사는 회원의 게시물을 소중하게 생각하며 변조, 훼손, 삭제되지 않도록 최선을 다하여 보호합니다. 다만, 다음 각 호에 해당하는 경우 사전통지 없이 해당 게시물을 삭제할 수 있고, 해당 회원의 자격을 제한, 정지 또는 상실시킬 수 있습니다.(3) 범죄적 행위에 결부된다고 인정되는 경우"
,제15조 게시물의 관리 및 저작권,"1. 회사는 회원의 게시물을 소중하게 생각하며 변조, 훼손, 삭제되지 않도록 최선을 다하여 보호합니다. 다만, 다음 각 호에 해당하는 경우 사전통지 없이 해당 게시물을 삭제할 수 있고, 해당 회원의 자격을 제한, 정지 또는 상실시킬 수 있습니다.(4) 회사의 저작권 또는 제3자의 저작권 등 기타 지적재산권을 침해하는 내용인 경우"
,제15조 게시물의 관리 및 저작권,"1. 회사는 회원의 게시물을 소중하게 생각하며 변조, 훼손, 삭제되지 않도록 최선을 다하여 보호합니다. 다만, 다음 각 호에 해당하는 경우 사전통지 없이 해당 게시물을 삭제할 수 있고, 해당 회원의 자격을 제한, 정지 또는 상실시킬 수 있습니다.(5) 회원이 음란물을 게재하거나 음란사이트를 링크한 경우"
,제15조 게시물의 관리 및 저작권,"1. 회사는 회원의 게시물을 소중하게 생각하며 변조, 훼손, 삭제되지 않도록 최선을 다하여 보호합니다. 다만, 다음 각 호에 해당하는 경우 사전통지 없이 해당 게시물을 삭제할 수 있고, 해당 회원의 자격을 제한, 정지 또는 상실시킬 수 있습니다.(6) 게시판의 성격에 부합하지 않는 게시물의 경우"
,제15조 게시물의 관리 및 저작권,"1. 회사는 회원의 게시물을 소중하게 생각하며 변조, 훼손, 삭제되지 않도록 최선을 다하여 보호합니다. 다만, 다음 각 호에 해당하는 경우 사전통지 없이 해당 게시물을 삭제할 수 있고, 해당 회원의 자격을 제한, 정지 또는 상실시킬 수 있습니다.(7) 스팸성 게시물인 경우"
,제15조 게시물의 관리 및 저작권,"1. 회사는 회원의 게시물을 소중하게 생각하며 변조, 훼손, 삭제되지 않도록 최선을 다하여 보호합니다. 다만, 다음 각 호에 해당하는 경우 사전통지 없이 해당 게시물을 삭제할 수 있고, 해당 회원의 자격을 제한, 정지 또는 상실시킬 수 있습니다.(8) 회원ID 또는 게임머니 매매와 관련된 게시물의 경우"
,제15조 게시물의 관리 및 저작권,"1. 회사는 회원의 게시물을 소중하게 생각하며 변조, 훼손, 삭제되지 않도록 최선을 다하여 보호합니다. 다만, 다음 각 호에 해당하는 경우 사전통지 없이 해당 게시물을 삭제할 수 있고, 해당 회원의 자격을 제한, 정지 또는 상실시킬 수 있습니다.(9) 정상적인 서비스 운영을 방해하는 경우"
,제15조 게시물의 관리 및 저작권,"1. 회사는 회원의 게시물을 소중하게 생각하며 변조, 훼손, 삭제되지 않도록 최선을 다하여 보호합니다. 다만, 다음 각 호에 해당하는 경우 사전통지 없이 해당 게시물을 삭제할 수 있고, 해당 회원의 자격을 제한, 정지 또는 상실시킬 수 있습니다.(10) 서비스의 운영 또는 회사의 사정으로 서비스를 중단할 경우"
,제15조 게시물의 관리 및 저작권,"1. 회사는 회원의 게시물을 소중하게 생각하며 변조, 훼손, 삭제되지 않도록 최선을 다하여 보호합니다. 다만, 다음 각 호에 해당하는 경우 사전통지 없이 해당 게시물을 삭제할 수 있고, 해당 회원의 자격을 제한, 정지 또는 상실시킬 수 있습니다.(11) 기타 관계법령에 위반된다고 판단하는 경우"
,제15조 게시물의 관리 및 저작권,"2. 회원이 서비스 내에 게시한 게시물의 저작권은 게시한 회원에게 있습니다. 회원은 회원본인이 회사의 서비스 내에 게시물을 작성 또는 게시한 경우, 당해 게시물에 대하여 회사가 다음 각 호의 행위를 할 수 있도록 회사에 사용료 없는 비배타적 사용권을 부여한 것으로 봅니다."
,제15조 게시물의 관리 및 저작권,"2. 회원이 서비스 내에 게시한 게시물의 저작권은 게시한 회원에게 있습니다. 회원은 회원본인이 회사의 서비스 내에 게시물을 작성 또는 게시한 경우, 당해 게시물에 대하여 회사가 다음 각 호의 행위를 할 수 있도록 회사에 사용료 없는 비배타적 사용권을 부여한 것으로 봅니다.(1) 서비스 내에서 회원 게시물의 복제, 수정, 전시, 게재, 배포, 출판 및 2차 저작물과 편집저작물의 작성 등"
,제15조 게시물의 관리 및 저작권,"2. 회원이 서비스 내에 게시한 게시물의 저작권은 게시한 회원에게 있습니다. 회원은 회원본인이 회사의 서비스 내에 게시물을 작성 또는 게시한 경우, 당해 게시물에 대하여 회사가 다음 각 호의 행위를 할 수 있도록 회사에 사용료 없는 비배타적 사용권을 부여한 것으로 봅니다.(2) 미디어, 통신사 등 서비스 제휴 파트너에게 회원의 게시물을 제공, 사용하도록 허용하는 경우"
,제15조 게시물의 관리 및 저작권,"2. 회원이 서비스 내에 게시한 게시물의 저작권은 게시한 회원에게 있습니다. 회원은 회원본인이 회사의 서비스 내에 게시물을 작성 또는 게시한 경우, 당해 게시물에 대하여 회사가 다음 각 호의 행위를 할 수 있도록 회사에 사용료 없는 비배타적 사용권을 부여한 것으로 봅니다.(3) 기타 회사의 홍보 등의 목적"
,제15조 게시물의 관리 및 저작권,3. 전항의 사용권부여는 회원이 탈퇴한 후에도 지속적으로 적용됩니다.
,제16조 저작권의 귀속,"1. 회사는 회원이 서비스를 이용하면서 생성 또는 취득하는 캐릭터, 아이템 등 회사의 서비스 내에서 제공하는 저작물에 대한 일체의 권리를 가집니다."
,제16조 저작권의 귀속,"2. 캐릭터(아바타) 및 아이템 등의 소유권은 회사에 있으며, 서비스 내의 이용권은 해당 디지털 컨텐츠를 유료로 구매한 회원에게 있습니다."
,제16조 저작권의 귀속,"3. 회사의 서비스를 이용하면서 생성 또는 취득되는 캐릭터, 아이템, 게임머니 등은 서비스를 위하여 제공되는 무형의 도구로써 화폐가 아니며, 환금성이 없습니다. 회원은 이를 일정기간 동안 회사의 서비스 내에서 이용할 권한을 가지며, 양도 또는 판매할 수 없습니다."
,제16조 저작권의 귀속,"4. 회사는 서비스 운영의 필요상 무료로 제공되는 캐릭터, 아이템, 게임머니 등을 일부 또는 전부 조정할 수 있습니다."
,제16조 저작권의 귀속,"5. 모든 캐릭터(아바타) 및 아이템의 사용 유효기간은 365일(1년)이며 기간 경과 후에는 이용권을 제한할 수 있습니다. 다만, 회사가 별도로 사용 유효기간을 정한 캐릭터 및 아이템은 제외합니다."
,제16조 저작권의 귀속,"6. 회원은 서비스를 이용함으로써 얻는 정보를 회사의 사전 승낙없이 임의가공, 판매, 복제, 송신, 출판, 배포, 방송, 기타 방법에 의하여 영리목적으로 이용하거나 제3자에게 이용하게 하여서는 안됩니다."
,제17조 광고게재 및 광고주와의 거래,"1. 회사가 제공하는 서비스 내에는 다양한 배너와 링크(Link)를 포함하고 있습니다. 많은 경우 타 사이트의 페이지와 연결되어 있으며, 이는 광고주와의 계약관계에 의하거나 제공받은 컨텐츠의 출처를 밝히기 위한 조치입니다."
,제17조 광고게재 및 광고주와의 거래,2. 회원은 서비스 내에 포함되어 있는 링크를 클릭하여 타 사이트의 페이지로 옮겨갈 경우 해당 사이트는 회사의 서비스와 무관하므로 새로 방문한 사이트의 정책을 검토하셔야 하며 타사이트를 이용하면서 발생하는 회원의 손해에 대해서 회사는 책임을 지지 않습니다.
,제18조 데이터 및 기타자료의 수집 및 사용,1. 회사는 회사에서 제공하는 소프트웨어와 관련하여 회원에게 제공되는 제품지원 서비스의 일환으로 회원PC의 데이터를 수집하여 사용할 수 있습니다.
,제18조 데이터 및 기타자료의 수집 및 사용,2. 회사는 전항의 자료에 대하여 소프트웨어를 개선하거나 회원의 사용환경에 적합한 서비스 또는 기술을 제공하기 위한 목적으로만 사용하며 그 외의 다른 목적으로 사용하지 않습니다.
,제18조 데이터 및 기타자료의 수집 및 사용,"3. 회사는 보다 안정적이고 보안이 강화된 고품질의 게임서비스를 제공하기 위한 멀티캐스팅, Digital Right Management, Grid Computing과 같은 적절한 기술을 적용할 수 있으며 이를 위해 회원의 PC에 회사가 의도하는 소프트웨어가 설치될 수 있습니다. 또한 이 기술에는 서비스 이용 중 회원의 컴퓨팅 자원을 제한적으로 전체 시스템의 측면에서 운용하여 서비스의 품질을 높이는 기술이 포함될 수 있습니다."
,제19조 서비스 이용시간,"1. 서비스 이용시간은 업무상 또는 기술상 특별한 지장이 없는 한 연중무휴 1일 24시간을 원칙으로 합니다. 다만, 정기점검 등의 필요로 회사가 정한 날이나 시간에 서비스를 일시 중단할 수 있습니다."
,제19조 서비스 이용시간,2. 회사는 서비스를 일정 범위로 분할하여 각 범위 별로 이용가능시간을 별도로 정할 수 있습니다. 이러한 경우에는 그 내용을 사전에 공지합니다.
,제20조 서비스 제공의 중단 등,1. 회사는 다음 각 호의 내용에 해당하는 경우 서비스 제공의 일부 또는 전부를 제한하거나 중단할 수 있습니다.
,제20조 서비스 제공의 중단 등,"1. 회사는 다음 각 호의 내용에 해당하는 경우 서비스 제공의 일부 또는 전부를 제한하거나 중단할 수 있습니다.(1) 정보통신설비의 보수 점검, 교체 및 고장 등 공사로 인한 부득이 한 경우"
,제20조 서비스 제공의 중단 등,1. 회사는 다음 각 호의 내용에 해당하는 경우 서비스 제공의 일부 또는 전부를 제한하거나 중단할 수 있습니다.(2) 기간통신사업자가 전기통신서비스를 중단했을 경우
,제20조 서비스 제공의 중단 등,1. 회사는 다음 각 호의 내용에 해당하는 경우 서비스 제공의 일부 또는 전부를 제한하거나 중단할 수 있습니다.(3) 국가비상상태 등 기타 불가항력적인 사유가 있는 경우
,제20조 서비스 제공의 중단 등,"1. 회사는 다음 각 호의 내용에 해당하는 경우 서비스 제공의 일부 또는 전부를 제한하거나 중단할 수 있습니다.(4) 회사의 분할, 합병, 영업양도, 영업의 폐지, 당해 서비스의 수익 악화 등 회사의 경영상 중대한 필요에 의한 경우"
,제20조 서비스 제공의 중단 등,"2. 전항에 의한 서비스 중단의 경우 회사는 제14조에 정한 방법으로 회원에게 통지합니다. 다만, 회사가 통제할 수 없는 사유로 발생한 서비스의 중단에 대하여 사전공지가 불가능한 경우 예외로 합니다."
,제20조 서비스 제공의 중단 등,"2. 전항에 의한 서비스 중단의 경우 회사는 제14조에 정한 방법으로 회원에게 통지합니다. 다만, 회사가 통제할 수 없는 사유로 발생한 서비스의 중단에 대하여 사전공지가 불가능한 경우 예외로 합니다.[제5장 계약해지 및 이용제한]"
,제21조 계약의 해지,1. 회원이 이용계약을 해지하고자 하는 경우에는 회원 본인이 이용해지 신청을 하여야 합니다. 이용해지 신청은 나의정보>회원탈퇴를 통하여 언제든지 이용해지를 할 수 있습니다.
,제21조 계약의 해지,"2. 회사는 제21조 제1항의 각 호 및 회사가 별도로 정한 정책에 근거하여 부정한 이용의 재발을 방지와 다른 회원을 보호하기 위하여, 개인정보보호정책에 명시한 기간동안 해당 회원의 주민등록번호를 보유할 수 있습니다."
,제22조 이용제한,1. 회사는 회원이 다음 각 호의 사유에 해당하는 경우 사전통지 없이 회원의 서비스 이용 제한 및 적법한 조치를 취할 수 있으며 이용계약을 해지하거나 또는 기간을 정하여 서비스를 중지할 수 있습니다.
,제22조 이용제한,1. 회사는 회원이 다음 각 호의 사유에 해당하는 경우 사전통지 없이 회원의 서비스 이용 제한 및 적법한 조치를 취할 수 있으며 이용계약을 해지하거나 또는 기간을 정하여 서비스를 중지할 수 있습니다.(1) 회원가입 신청 또는 변경시 허위 내용을 등록한 경우
,제22조 이용제한,1. 회사는 회원이 다음 각 호의 사유에 해당하는 경우 사전통지 없이 회원의 서비스 이용 제한 및 적법한 조치를 취할 수 있으며 이용계약을 해지하거나 또는 기간을 정하여 서비스를 중지할 수 있습니다.(2) 타인의 서비스 이용을 방해하거나 그 정보를 도용한 경우
